latitude,longitude,material_of_building,Type_of_furniture,square_meters,number_of_rooms,year_of_completion,floor,residential_complex,number_of_floors,type_of_building,smart_house,floor_heating,security,cost_in_dollars
49.85177,24.02629,brick house,none,77,3.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,157500.0
49.85177,24.02629,brick house,none,77.22,3.0,2023.0,6.0,ЖК З_40,1.0,apartment,No,No,No,154400.0
49.85177,24.02629,brick house,none,72.89,1.0,2023.0,4.0,ЖК З_40,1.0,apartment,No,No,No,131200.0
49.85177,24.02629,brick house,none,50,1.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,107264.0
49.85177,24.02629,brick house,none,77.20,3.0,2023.0,5.0,ЖК З_40,1.0,apartment,No,No,No,146700.0
49.85268,24.02578,brick house,none,27.63,1.0,2023.0,8.0,АН Атланта,1.0,apartment,No,No,No,42000.0
49.85224,24.02697,brick house,perfect,100,2.0,1827.0,2.0,none,1.0,apartment,No,Yes,No,200000.0
49.85208,24.03558,brick house,medium-good,58.3,2.0,1833.0,2.0,none,1.0,apartment,No,No,No,69000.0
49.85415,24.04268,brick house,good,63.2,2.0,1872.0,3.0,none,1.0,apartment,No,No,No,79000.0
49.85311,24.03602,brick house,none,147,4.0,2021.0,6.0,ЖК Львівський дворик,1.0,apartment,No,No,Yes,147000.0
49.85311,24.03602,brick house,none,136,4.0,2021.0,6.0,ЖК Львівський дворик,1.0,apartment,No,No,Yes,147000.0
49.85311,24.03602,brick house,none,88,2.0,2020.0,6.0,ЖК Львівський дворик,1.0,apartment,No,No,Yes,88000.0
49.85276,24.0372,brick house,perfect,37,1.0,1880.0,3.0,none,1.0,apartment,No,No,No,64000.0
49.8531,24.0371,brick house,medium-good,30,1.0,1880.0,3.0,none,1.0,apartment,No,No,No,55000.0
49.8543,24.04423,brick house,none,47.3,1.0,2019.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,60000.0
49.8543,24.04423,brick house,none,43.18,1.0,2019.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,54000.0
49.85562,24.04307,brick house,perfect,27,1.0,1917.0,2.0,none,1.0,apartment,No,No,No,49000.0
49.85572,24.04317,brick house,none,85.6,1.0,2015.0,6.0,АН Атланта,1.0,apartment,No,No,No,89880.0
49.85572,24.04217,monolithic frame,none,57.2,1.0,2024.0,4.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,80600.0
49.85572,24.04218,monolithic frame,none,39,1.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,41000.0
49.85572,24.04219,monolithic frame,none,35,1.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,47080.0
49.85572,24.0422,monolithic frame,none,70.7,2.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,58000.0
49.85572,24.04221,monolithic frame,none,43,1.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,50000.0
49.85572,24.04222,monolithic frame,none,36,1.0,2024.0,3.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,50000.0
49.85572,24.04223,monolithic frame,none,76.35,3.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,80000.0
49.85572,24.04224,monolithic frame,none,36,1.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,44499.0
49.85572,24.04225,monolithic frame,none,75,2.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,83970.0
49.85572,24.04226,monolithic frame,none,72,2.0,2024.0,4.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,60000.0
49.85572,24.04227,monolithic frame,none,47.3,1.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,60390.0
49.85572,24.04228,monolithic frame,none,57.69,1.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,83177.0
49.85572,24.04229,monolithic frame,none,70.95,1.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,98.507
49.85572,24.0423,monolithic frame,none,72,2.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,83000.0
49.85573,24.04231,monolithic frame,none,67,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,69999.0
49.85574,24.04232,monolithic frame,none,76.27,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,105893.0
49.85575,24.04233,monolithic frame,none,67.8,1.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,97754.0
49.85576,24.04234,monolithic frame,none,62.76,1.0,2024.0,4.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,93839.0
49.85577,24.04235,monolithic frame,none,58,2.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,72000.0
49.85578,24.04236,monolithic frame,none,71.49,2.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,100784.0
49.85579,24.04237,monolithic frame,none,36,1.0,2024.0,3.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,50000.0
49.8558,24.04238,brick house,none,87.5,3.0,2024.0,7.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,87500.0
49.85581,24.04239,brick house,none,86,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,67000.0
49.85582,24.0424,brick house,none,65,1.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,68000.0
49.85583,24.04241,monolithic frame,none,71.5,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,94360.0
49.85584,24.04242,monolithic frame,none,116,3.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,Yes,No,149000.0
49.85585,24.04243,brick house,none,85,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,65900.0
49.85586,24.04244,monolithic frame,none,30.95,1.0,2024.0,9.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,42990.0
49.85587,24.04245,monolithic frame,none,42,1.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,52260.0
49.85588,24.04246,brick house,none,68,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,68999.0
49.85589,24.04247,monolithic frame,none,50.07,1.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,50000.0
49.8559,24.04248,monolithic frame,none,78,2.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,99970.0
49.85591,24.04249,brick house,none,65,2.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,65000.0
49.85592,24.0425,monolithic frame,none,72,2.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,62900.0
49.85593,24.04251,monolithic frame,none,43.3,1.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,60600.0
49.85594,24.04252,brick house,none,48.2,1.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,55000.0
49.85595,24.04253,monolithic frame,none,43.11,1.0,2024.0,7.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,44000.0
49.85596,24.04254,monolithic frame,none,76.35,2.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,80000.0
49.85597,24.04255,monolithic frame,none,38.6,1.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,41900.0
49.85598,24.04256,monolithic frame,none,88.73,3.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,110873.0
49.85599,24.04257,monolithic frame,none,38.68,1.0,2024.0,8.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,46400.0
49.856,24.04258,monolithic frame,none,38,1.0,2024.0,8.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,48500.0
49.85601,24.04259,monolithic frame,none,80.88,2.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,109702.0
49.85602,24.0426,monolithic frame,none,50.49,1.0,2024.0,4.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,60000.0
49.85603,24.04261,monolithic frame,none,116.5,2.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,139353.0
49.85604,24.04262,monolithic frame,none,100.1,3.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,138854.0
49.85605,24.04263,monolithic frame,none,43.14,1.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,54000.0
49.85606,24.04264,monolithic frame,none,156.36,4.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,183692.0
49.85607,24.04265,monolithic frame,none,98.21,2.0,2024.0,4.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,124817.0
49.85608,24.04266,monolithic frame,none,46.5,1.0,2024.0,3.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,53000.0
49.85609,24.04267,monolithic frame,none,90.25,3.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,120484.0
49.8561,24.04268,monolithic frame,none,97.2,3.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,121457.0
49.85611,24.04269,brick house,none,85,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,65900.0
49.85612,24.0427,monolithic frame,none,50.6,1.0,2024.0,4.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,69400.0
49.85613,24.04271,monolithic frame,none,85,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,65999.0
49.85614,24.04272,brick house,none,36,1.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,45999.0
49.85615,24.04273,monolithic frame,none,43,1.0,2024.0,3.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,55000.0
49.85616,24.04274,monolithic frame,none,52,1.0,2024.0,3.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,55000.0
49.85617,24.04275,monolithic frame,none,38,1.0,2024.0,4.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,40000.0
49.85618,24.04276,monolithic frame,none,73,2.0,2024.0,7.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,98000.0
49.85619,24.04277,monolithic frame,none,80.78,2.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,112155.0
49.8562,24.04278,monolithic frame,none,104.37,3.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,127073.0
49.85621,24.04279,monolithic frame,none,116.85,2.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,143515.0
49.85622,24.0428,monolithic frame,none,54.13,1.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,76310.0
49.85623,24.04281,brick house,none,67.43,2.0,2024.0,2.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,60690.0
49.85624,24.04282,monolithic frame,none,55.22,1.0,2024.0,4.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,80796.0
49.85625,24.04283,monolithic frame,none,94.04,2.0,2024.0,9.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,120522.0
49.85626,24.04284,monolithic frame,none,52.95,1.0,2024.0,6.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,79171.0
49.85627,24.04285,monolithic frame,none,40.21,1.0,2024.0,8.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,48000.0
49.85628,24.04286,monolithic frame,none,74.08,1.0,2024.0,3.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,102853.0
49.85629,24.04287,monolithic frame,none,87.43,3.0,2024.0,7.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,86000.0
49.8563,24.04288,monolithic frame,none,34.8,1.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,36000.0
49.85631,24.04289,monolithic frame,none,93.1,2.0,2024.0,5.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,120000.0
49.85632,24.0429,monolithic frame,none,43.11,1.0,2024.0,7.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,44000.0
49.85633,24.04291,monolithic frame,none,70,2.0,2024.0,1.0,ЖК Містечко Підзамче,1.0,apartment,No,No,No,58000.0
49.85585,24.0498,brick house,medium-good,46,1.0,1914.0,4.0,none,1.0,apartment,No,No,No,55000.0
49.85564,24.05828,brick house,medium-good,41,2.0,1959.0,1.0,none,1.0,apartment,No,No,No,47000.0
49.85564,24.06167,brick house,medium-good,69.9,3.0,1988.0,9.0,none,1.0,apartment,No,No,No,75000.0
49.8565,24.06048,brick house,good,60.6,2.0,1988.0,8.0,АН Атланта,1.0,apartment,No,No,No,82000.0
49.85773,24.05453,brick house,medium,41,2.0,1950.0,1.0,none,1.0,apartment,No,No,No,32000.0
49.85795,24.0493,brick house,good,75,3.0,1950.0,1.0,none,2.0,apartment,No,No,No,89000.0
49.85446,24.03605,brick house,medium-good,122,5.0,1950.0,1.0,none,2.0,apartment,No,No,No,95000.0
49.8533,24.03078,brick house,medium,40,2.0,1950.0,2.0,none,1.0,apartment,No,No,No,43999.0
49.85444,24.03158,brick house,medium-good,24,1.0,1915.0,2.0,none,1.0,apartment,No,No,No,33000.0
49.85502,24.02201,brick house,medium,60,3.0,1970.0,5.0,none,1.0,apartment,No,No,No,67000.0
49.85442,24.02026,brick house,good,57,2.0,1970.0,7.0,none,1.0,apartment,No,No,No,67000.0
49.85442,24.02026,brick house,medium,70,3.0,1970.0,1.0,none,1.0,apartment,No,No,No,70000.0
49.85442,24.02026,brick house,none,71,3.0,1970.0,1.0,none,1.0,apartment,No,No,No,80000.0
49.85629,24.01845,brick house,medium-good,64,3.0,1967.0,4.0,none,1.0,apartment,No,No,No,64000.0
49.85587,24.01682,panel,medium-good,62,3.0,1967.0,4.0,none,1.0,apartment,No,No,No,64000.0
49.85655,24.01759,brick house,medium-good,30,1.0,1980.0,4.0,none,1.0,apartment,No,No,No,32000.0
49.85655,24.01759,brick house,medium,21,1.0,1980.0,9.0,none,1.0,apartment,No,No,No,27000.0
49.85741,24.01387,brick house,none,40,1.0,1980.0,5.0,none,1.0,apartment,No,No,No,35000.0
49.8569,24.01273,monolithic frame,none,85.2,3.0,2016.0,8.0,Галжитлобуд,1.0,apartment,No,No,No,105000.0
49.8569,24.01273,monolithic frame,medium-good,72,3.0,2016.0,1.0,none,1.0,apartment,No,No,No,85000.0
49.85805,24.00982,brick house,none,67,2.0,2000.0,7.0,none,1.0,apartment,No,No,No,45628.0
49.85647,24.02162,brick house,perfect,47,2.0,2011.0,3.0,none,1.0,apartment,No,No,No,95000.0
49.85647,24.02162,brick house,perfect,32.6,1.0,2011.0,5.0,none,1.0,apartment,No,No,Yes,54998.0
49.85647,24.02162,brick house,perfect,139,3.0,2017.0,2.0,none,1.0,apartment,No,No,No,170000.0
49.85647,24.02162,brick house,perfect,65,2.0,2019.0,12.0,none,1.0,apartment,No,Yes,No,155000.0
49.85647,24.02162,brick house,perfect,70,2.0,2019.0,1.0,none,1.0,apartment,No,No,No,121000.0
49.85647,24.02162,brick house,perfect,69,2.0,2019.0,2.0,none,1.0,apartment,No,No,No,175054.0
49.85647,24.02162,brick house,good,62.3,3.0,2019.0,8.0,none,1.0,apartment,No,No,No,79000.0
49.85647,24.02162,brick house,perfect,72,1.0,2019.0,6.0,AVALON,1.0,apartment,No,No,No,220000.0
49.85647,24.02162,brick house,none,120,3.0,2019.0,5.0,none,1.0,apartment,No,No,No,180000.0
49.85647,24.02162,brick house,perfect,45,1.0,2019.0,1.0,none,1.0,apartment,No,No,No,95400.0
49.85647,24.02162,brick house,perfect,51,1.0,2019.0,11.0,none,1.0,apartment,No,Yes,Yes,119000.0
49.85647,24.02162,brick house,medium-good,55,3.0,1980.0,1.0,none,1.0,apartment,No,No,No,50000.0
49.85647,24.02162,brick house,good,45,2.0,2010.0,2.0,none,1.0,apartment,No,No,No,60000.0
49.85647,24.02162,brick house,perfect,140,3.0,2019.0,12.0,none,2.0,apartment,No,No,No,170000.0
49.85647,24.02162,brick house,medium,80,4.0,2000.0,10.0,none,1.0,apartment,No,No,No,68500.0
49.85647,24.02162,brick house,good,121,3.0,2019.0,9.0,none,1.0,apartment,No,No,No,180000.0
49.85647,24.02162,monolithic frame,perfect,96,3.0,2019.0,9.0,none,2.0,apartment,No,No,Yes,110000.0
49.85647,24.02162,brick house,perfect,41,1.0,2019.0,3.0,none,1.0,apartment,No,No,No,70500.0
49.85647,24.02162,brick house,perfect,53,3.0,2019.0,3.0,none,1.0,apartment,No,No,No,67000.0
49.85647,24.02162,brick house,perfect,45,1.0,2019.0,3.0,none,1.0,apartment,No,No,No,93000.0
49.85647,24.02162,brick house,none,82,3.0,2019.0,11.0,none,1.0,apartment,No,No,No,112000.0
49.85647,24.02162,brick house,perfect,34,1.0,2019.0,3.0,none,1.0,apartment,No,No,No,61999.0
49.85647,24.02162,brick house,perfect,152,3.0,2019.0,3.0,none,1.0,apartment,No,No,Yes,198000.0
49.85647,24.02162,brick house,none,85,3.0,2019.0,8.0,none,1.0,apartment,No,No,No,105000.0
49.85647,24.02162,brick house,good,54,2.0,1950.0,3.0,none,1.0,apartment,No,No,No,88000.0
49.85647,24.02162,brick house,perfect,53,1.0,2019.0,4.0,none,1.0,apartment,No,Yes,No,78000.0
49.85647,24.02162,brick house,medium,55,2.0,1980.0,3.0,none,1.0,apartment,No,No,No,85000.0
49.85647,24.02162,brick house,perfect,42,1.0,2019.0,2.0,none,1.0,apartment,No,No,No,85000.0
49.85647,24.02162,brick house,good,76,2.0,2019.0,4.0,none,1.0,apartment,No,No,No,110000.0
49.85647,24.02162,brick house,medium-good,46,2.0,2000.0,1.0,none,1.0,apartment,No,No,No,43500.0
49.85647,24.02162,brick house,good,28,1.0,2019.0,1.0,none,1.0,apartment,No,No,No,43600.0
49.85647,24.02162,brick house,medium-good,62,3.0,1960.0,4.0,none,1.0,apartment,No,No,No,64000.0
49.85647,24.02162,brick house,none,235,5.0,1960.0,4.0,none,2.0,apartment,No,No,No,90000.0
49.85647,24.02162,brick house,none,144,4.0,2019.0,13.0,none,1.0,apartment,No,No,No,175000.0
49.85647,24.02162,brick house,good,64,3.0,2019.0,6.0,none,1.0,apartment,No,No,No,103000.0
49.85647,24.02162,brick house,good,82.5,4.0,2000.0,11.0,АН Атланта,1.0,apartment,No,No,No,96000.0
49.85647,24.02162,brick house,none,66.5,2.0,2019.0,16.0,АН Атланта,1.0,apartment,No,No,No,119000.0
49.85647,24.02162,brick house,medium,45.3,2.0,1950.0,3.0,none,1.0,apartment,No,No,No,55000.0
49.85647,24.02162,brick house,none,82.4,3.0,2019.0,17.0,none,1.0,apartment,No,No,No,115000.0
49.85647,24.02162,brick house,perfect,73,2.0,2019.0,8.0,none,1.0,apartment,No,No,No,150000.0
49.85647,24.02162,brick house,good,74,3.0,1960.0,3.0,none,1.0,apartment,No,No,No,95000.0
49.85647,24.02162,brick house,good,71,2.0,2010.0,7.0,none,1.0,apartment,No,No,No,116251.0
49.85647,24.02162,brick house,good,40,2.0,2019.0,12.0,none,1.0,apartment,No,No,No,110000.0
49.85647,24.02162,brick house,medium-good,56,3.0,1950.0,5.0,none,1.0,apartment,No,No,No,57000.0
49.85647,24.02162,brick house,good,54,2.0,1940.0,3.0,none,1.0,apartment,No,No,No,93000.0
49.85647,24.02162,brick house,none,92,3.0,2019.0,4.0,none,1.0,apartment,No,No,No,95000.0
49.85647,24.02162,brick house,perfect,58,2.0,2019.0,12.0,none,1.0,apartment,No,No,No,110000.0
49.85647,24.02162,brick house,none,51,2.0,2010.0,7.0,none,1.0,apartment,No,No,No,50000.0
49.85647,24.02162,brick house,good,70,2.0,2015.0,12.0,none,1.0,apartment,No,Yes,No,110000.0
49.85647,24.02162,brick house,good,71,2.0,2016.0,7.0,none,1.0,apartment,No,No,No,116251.0
49.85647,24.02162,brick house,good,74,3.0,1950.0,3.0,none,1.0,apartment,No,No,No,95000.0
49.86138,24.0134,brick house,good,29,1.0,1980.0,1.0,АН Атланта,1.0,apartment,No,No,No,44500.0
49.86138,24.0134,brick house,good,63.4,2.0,1987.0,12.0,АН Атланта,1.0,apartment,No,No,No,110000.0
49.86138,24.0134,brick house,medium,31,1.0,1980.0,1.0,none,1.0,apartment,No,No,No,42000.0
49.86227,24.01241,brick house,good,70,2.0,2000.0,12.0,none,1.0,apartment,No,No,No,95000.0
49.86227,24.01241,brick house,medium,64,2.0,2000.0,12.0,none,1.0,apartment,No,No,No,110000.0
49.86127,24.00977,brick house,medium,82,4.0,1988.0,10.0,none,1.0,apartment,No,No,No,70000.0
49.86237,24.01314,monolithic frame,medium-good,64,2.0,2010.0,12.0,none,1.0,apartment,No,No,No,110000.0
49.86237,24.01314,monolithic frame,good,182,3.0,2010.0,16.0,none,2.0,apartment,No,No,No,273000.0
49.86414,24.0098,brick house,low-medium,14,1.0,1950.0,5.0,none,1.0,apartment,No,No,No,14000.0
49.86403,24.01442,brick house,medium-good,76,4.0,1985.0,1.0,none,1.0,apartment,No,No,No,85000.0
49.86419,24.01478,brick house,good,80,3.0,1985.0,1.0,none,1.0,apartment,No,No,No,82000.0
49.86419,24.01478,brick house,good,41.5,2.0,1950.0,5.0,none,1.0,apartment,No,Yes,No,69000.0
49.86467,24.01416,brick house,good,79,4.0,1986.0,5.0,none,1.0,apartment,No,Yes,No,83900.0
49.86538,24.01328,brick house,good,61,3.0,1986.0,4.0,none,1.0,apartment,No,No,No,90000.0
49.8653,24.01656,brick house,good,67,3.0,1988.0,6.0,none,1.0,apartment,No,No,No,103000.0
49.86564,24.01412,brick house,good,37,1.0,1987.0,9.0,none,1.0,apartment,No,No,No,51000.0
49.87604,23.99798,brick house,none,115,3.0,2024.0,10.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,160000.0
49.87604,23.99798,brick house,none,72,2.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,89700.0
49.87604,23.99798,brick house,none,56,2.0,2024.0,7.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,66000.0
49.87604,23.99798,brick house,none,72,2.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,89700.0
49.87604,23.99798,brick house,none,64,2.0,2023.0,5.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,75000.0
49.87604,23.99798,brick house,none,66.1,2.0,2024.0,3.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,82000.0
49.87604,23.99798,brick house,none,65,2.0,2021.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,77400.0
49.87604,23.99798,brick house,none,98,3.0,2024.0,6.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,127500.0
49.87604,23.99798,brick house,good,126,4.0,2021.0,8.0,ЖК Малоголосківські пагорби,2.0,apartment,No,No,No,233352.0
49.87604,23.99798,brick house,perfect,83,2.0,2022.0,3.0,ЖК Малоголосківські пагорби,1.0,apartment,No,Yes,No,180000.0
49.87604,23.99798,brick house,none,77.5,2.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,88000.0
49.87604,23.99798,brick house,none,65,2.0,2024.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,77000.0
49.87604,23.99798,brick house,none,58,2.0,2024.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,66200.0
49.87604,23.99798,brick house,none,66.1,2.0,2024.0,3.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,82000.0
49.87604,23.99798,brick house,none,58,2.0,2024.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,66200.0
49.87604,23.99798,brick house,none,105,3.0,2024.0,8.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,145000.0
49.87604,23.99798,brick house,none,37,1.0,2024.0,4.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,51000.0
49.87604,23.99798,brick house,perfect,65,2.0,2021.0,4.0,ЖК Малоголосківські пагорби,1.0,apartment,No,Yes,No,117000.0
49.87604,23.99798,brick house,none,54,2.0,2024.0,8.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,61500.0
49.87604,23.99798,brick house,none,70,2.0,2024.0,3.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,82000.0
49.87604,23.99798,brick house,none,98.02,3.0,2024.0,6.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,127500.0
