latitude,longitude,material_of_building,Type_of_furniture,square_meters,number_of_rooms,year_of_completion,floor,residential_complex,number_of_floors,type_of_building,smart_house,floor_heating,security,cost_in_dollars
49.87604,23.99798,brick house,none,36.54,1.0,2021.0,4.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,51000.0
49.87604,23.99798,brick house,none,64,2.0,2020.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,77000.0
49.87604,23.99798,brick house,none,55.5,2.0,2024.0,7.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,90000.0
49.87604,23.99798,brick house,none,37,1.0,2024.0,1.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,51000.0
49.87604,23.99798,brick house,none,36.54,1.0,2024.0,4.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,51000.0
49.87604,23.99798,brick house,none,68,2.0,2024.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,78500.0
49.87604,23.99798,brick house,none,42,1.0,2024.0,3.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,67900.0
49.87604,23.99798,brick house,none,40,1.0,2024.0,6.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,78000.0
49.87604,23.99798,brick house,none,55.8,1.0,2024.0,4.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,62000.0
49.87604,23.99798,brick house,none,84,3.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,105000.0
49.87604,23.99798,brick house,none,64,2.0,2024.0,5.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,75000.0
49.87604,23.99798,brick house,none,37,1.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,51000.0
49.87604,23.99798,brick house,none,58,2.0,2024.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,66200.0
49.87604,23.99798,brick house,none,58,2.0,2024.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,66200.0
49.87604,23.99798,brick house,none,37,1.0,2024.0,4.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,51000.0
49.87604,23.99798,brick house,none,75.6,2.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,82700.0
49.87604,23.99798,brick house,none,42,1.0,2024.0,1.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,50000.0
49.87604,23.99798,brick house,none,45.6,1.0,2024.0,6.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,61500.0
49.87604,23.99798,brick house,none,69,2.0,2024.0,8.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,83500.0
49.87604,23.99798,brick house,none,68,2.0,2022.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,79000.0
49.87604,23.99798,brick house,none,115,3.0,2022.0,10.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,160000.0
49.87604,23.99798,brick house,none,70,2.0,2024.0,10.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,91000.0
49.87604,23.99798,brick house,none,77,2.0,2024.0,1.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,85000.0
49.87604,23.99798,brick house,none,38.8,1.0,2022.0,4.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,51000.0
49.87604,23.99798,panel,none,42,1.0,2024.0,1.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,48000.0
49.87604,23.99798,brick house,none,77,2.0,2023.0,1.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,85000.0
49.87604,23.99798,brick house,none,70,2.0,2024.0,10.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,91000.0
49.87604,23.99798,brick house,none,72,2.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,89700.0
49.87604,23.99798,brick house,none,68,2.0,2022.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,79000.0
49.87604,23.99798,brick house,none,60.5,2.0,2024.0,1.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,70000.0
49.87604,23.99798,brick house,none,75.2,2.0,2024.0,1.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,90200.0
49.87604,23.99798,brick house,none,83.77,3.0,2024.0,6.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,100500.0
49.87604,23.99798,brick house,none,58,2.0,2024.0,9.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,66200.0
49.87604,23.99798,brick house,none,36.7,1.0,2024.0,4.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,51000.0
49.87634,23.99787,brick house,none,46,1.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,35500.0
49.87634,23.99787,brick house,none,49.19,1.0,2024.0,3.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,38999.0
49.87634,23.99787,brick house,none,98.05,3.0,2023.0,8.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,83343.0
49.87634,23.99787,brick house,none,74.98,2.0,2023.0,10.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,63733.0
49.87634,23.99787,brick house,none,99.3,3.0,2024.0,5.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,84405.0
49.87634,23.99787,brick house,none,98.02,3.0,2023.0,6.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,83317.0
49.87634,23.99787,brick house,none,76.3,3.0,2023.0,3.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,64855.0
49.87634,23.99787,brick house,none,76,2.0,2024.0,8.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,60800.0
49.87634,23.99787,brick house,none,98.05,2.0,2024.0,7.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,83342.0
49.87634,23.99787,brick house,none,71.05,2.0,2023.0,10.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,60393.0
49.87634,23.99787,brick house,none,43,1.0,2024.0,8.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,43700.0
49.87634,23.99787,brick house,none,77.6,2.0,2023.0,3.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,65960.0
49.87634,23.99787,brick house,none,78.37,2.0,2023.0,10.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,66615.0
49.87634,23.99787,brick house,none,72.13,2.0,2024.0,2.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,61310.0
49.87634,23.99787,brick house,none,43,1.0,2024.0,8.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,43700.0
49.87634,23.99787,brick house,none,42,1.0,2023.0,6.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,32900.0
49.87634,23.99787,brick house,none,45,1.0,2022.0,7.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,33800.0
49.87634,23.99787,brick house,none,42.67,1.0,2024.0,6.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,38403.0
49.87634,23.99787,brick house,none,43,1.0,2024.0,8.0,ЖК Малоголосківські пагорби,1.0,apartment,No,No,No,43700.0
49.86646,24.0006,monolithic frame,perfect,41,1.0,2023.0,7.0,ЖК Обрій,1.0,apartment,No,No,No,76000.0
49.86646,24.0006,brick house,none,56,2.0,2024.0,7.0,ЖК Обрій,1.0,apartment,No,No,No,95000.0
49.86646,24.0006,brick house,medium,83,3.0,2024.0,7.0,ЖК Обрій,1.0,apartment,No,Yes,No,123000.0
49.86646,24.0006,brick house,none,40.4,1.0,2024.0,4.0,ЖК Обрій,1.0,apartment,No,No,No,51000.0
49.96582,24.0062,monolithic frame,good,41,1.0,2022.0,7.0,ЖК Обрій,1.0,apartment,No,No,No,76000.0
49.96582,24.0062,brick house,none,56,2.0,2024.0,7.0,ЖК Обрій,1.0,apartment,No,No,No,95000.0
49.96582,24.0062,brick house,medium,83,3.0,2024.0,7.0,ЖК Обрій,1.0,apartment,No,No,No,123000.0
49.96582,24.0062,brick house,none,40.4,1.0,2024.0,4.0,ЖК Обрій,1.0,apartment,No,No,No,51000.0
49.86798,24.00275,brick house,good,40,2.0,2020.0,8.0,ЖК Обрій,1.0,apartment,No,Yes,Yes,76000.0
49.86798,24.00275,brick house,perfect,66,2.0,2018.0,1.0,ЖК Обрій,1.0,apartment,No,No,Yes,98000.0
49.86798,24.00275,monolithic frame,perfect,40,1.0,2021.0,8.0,ЖК Обрій,1.0,apartment,No,No,Yes,78000.0
49.86654,24.0096,brick house,perfect,40,1.0,2020.0,3.0,ЖК На Нивах,1.0,apartment,No,No,No,85000.0
49.86654,24.0096,brick house,perfect,43,1.0,2020.0,2.0,ЖК На Нивах,1.0,apartment,No,No,No,81000.0
49.86743,24.01426,insulated panel,good,90,3.0,1991.0,6.0,none,1.0,apartment,No,No,No,120000.0
49.86743,24.01426,insulated panel,none,47,1.0,1991.0,4.0,none,1.0,apartment,No,No,No,40000.0
49.87654,24.01224,brick house,none,78,2.0,2020.0,1.0,none,1.0,apartment,No,No,No,88000.0
49.87654,24.01224,brick house,none,36,1.0,2020.0,5.0,none,1.0,apartment,No,No,No,42000.0
49.86746,24.01342,brick house,good,41.4,1.0,2018.0,6.0,none,1.0,apartment,No,No,Yes,70000.0
49.86746,24.01342,brick house,perfect,83,3.0,2018.0,7.0,none,1.0,apartment,No,No,No,171000.0
49.86746,24.01342,brick house,medium,120,3.0,2018.0,9.0,none,2.0,apartment,No,No,No,180000.0
49.86746,24.01342,monolithic frame,perfect,61,2.0,2016.0,2.0,none,1.0,apartment,No,No,No,104000.0
49.87049,24.01053,panel,none,99,3.0,1990.0,6.0,ЖК Панорамний,1.0,apartment,No,No,No,78000.0
49.87049,24.01053,panel,none,48.2,1.0,1990.0,8.0,ЖК Панорамний,1.0,apartment,No,No,No,48000.0
49.87049,24.01053,panel,none,51,1.0,1990.0,10.0,ЖК Панорамний,1.0,apartment,No,No,No,40000.0
49.87049,24.01053,panel,none,47,1.0,1990.0,12.0,ЖК Панорамний,1.0,apartment,No,No,No,45500.0
49.87049,24.01053,panel,none,100,3.0,1990.0,6.0,ЖК Панорамний,1.0,apartment,No,No,No,73000.0
49.87049,24.01053,panel,none,49,1.0,1990.0,5.0,ЖК Панорамний,1.0,apartment,No,No,No,49000.0
49.8681,24.01382,panel,good,45,1.0,1992.0,5.0,ЖК КарпатБуд,1.0,apartment,No,No,No,73000.0
49.86913,24.01322,monolithic frame,good,98,3.0,2016.0,10.0,ЖК КарпатБуд,1.0,apartment,No,No,No,135000.0
49.86913,24.01322,monolithic frame,perfect,88.1,3.0,2016.0,9.0,ЖК КарпатБуд,1.0,apartment,No,No,No,150000.0
49.86913,24.01322,monolithic frame,none,65,2.0,2016.0,9.0,ЖК КарпатБуд,1.0,apartment,No,No,No,65000.0
49.86913,24.01322,monolithic frame,good,88,3.0,2016.0,2.0,ЖК КарпатБуд,1.0,apartment,No,Yes,No,128000.0
49.86913,24.01322,monolithic frame,good,89,2.0,2016.0,2.0,ЖК КарпатБуд,1.0,apartment,No,No,No,128000.0
49.86913,24.01322,monolithic frame,none,43,1.0,2016.0,5.0,ЖК КарпатБуд,1.0,apartment,No,No,No,47000.0
49.86415,24.02818,brick house,none,80,2.0,2024.0,3.0,ЖК Замарстинівська,1.0,apartment,No,No,No,103660.0
49.86415,24.02818,brick house,none,48,1.0,2024.0,9.0,ЖК Замарстинівська,1.0,apartment,No,No,No,58600.0
49.86415,24.02818,brick house,none,97,3.0,2024.0,2.0,ЖК Замарстинівська,1.0,apartment,No,No,No,92000.0
49.86538,24.02922,monolithic frame,perfect,42.3,1.0,2014.0,7.0,ЖК Лінкольн,1.0,apartment,No,No,No,75000.0
49.86538,24.02922,monolithic frame,good,101,3.0,2014.0,10.0,none,1.0,apartment,No,No,No,120000.0
49.86475,24.02934,monolithic frame,good,44,1.0,2018.0,11.0,ЖК Лінкольн,1.0,apartment,No,Yes,Yes,75000.0
49.86475,24.02934,monolithic frame,perfect,72,3.0,2018.0,13.0,ЖК Лінкольн,2.0,apartment,No,Yes,Yes,122000.0
49.86608,24.03054,brick house,perfect,84.4,3.0,1961.0,6.0,none,1.0,apartment,No,Yes,Yes,149000.0
49.86418,24.03351,monolithic frame,perfect,57,2.0,2019.0,1.0,ЖК Avalon Time,1.0,apartment,No,No,No,100000.0
49.86418,24.03351,monolithic frame,none,72,2.0,2019.0,2.0,ЖК Avalon Time,1.0,apartment,No,No,No,100000.0
49.86418,24.03351,monolithic frame,perfect,45,1.0,2019.0,4.0,ЖК Avalon Time,1.0,apartment,No,No,No,91500.0
49.86418,24.03351,monolithic frame,perfect,52.5,2.0,2019.0,1.0,ЖК Avalon Time,1.0,apartment,No,No,No,95000.0
49.86418,24.03351,monolithic frame,none,39,1.0,2019.0,1.0,ЖК Avalon Time,1.0,apartment,Yes,No,No,51000.0
49.86876,24.02739,monolithic frame,perfect,44,1.0,2020.0,5.0,ЖК Greenville Park Lviv,1.0,apartment,No,Yes,No,89500.0
49.86876,24.02739,monolithic frame,none,53.2,1.0,2020.0,2.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,72000.0
49.86876,24.02739,monolithic frame,perfect,45,1.0,2020.0,2.0,ЖК Greenville Park Lviv,1.0,apartment,No,Yes,No,86000.0
49.86876,24.02739,monolithic frame,none,68.25,2.0,2020.0,3.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,92000.0
49.86876,24.02739,monolithic frame,none,77.3,2.0,2020.0,5.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,110500.0
49.86876,24.02739,monolithic frame,perfect,46,1.0,2020.0,2.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,84000.0
49.86876,24.02739,monolithic frame,none,47.6,1.0,2020.0,1.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,58500.0
49.86876,24.02739,monolithic frame,perfect,46,1.0,2020.0,1.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,84000.0
49.86876,24.02739,monolithic frame,perfect,45.1,1.0,2020.0,5.0,ЖК Greenville Park Lviv,1.0,apartment,No,Yes,No,83000.0
49.86876,24.02739,monolithic frame,perfect,54,2.0,2020.0,3.0,ЖК Greenville Park Lviv,1.0,apartment,No,Yes,No,135000.0
49.86876,24.02739,monolithic frame,perfect,45,1.0,2020.0,8.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,89999.0
49.86876,24.02739,monolithic frame,none,46.44,1.0,2020.0,3.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,57500.0
49.86876,24.02739,monolithic frame,perfect,45,1.0,2020.0,4.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,83000.0
49.86876,24.02739,monolithic frame,perfect,44,1.0,2020.0,5.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,65000.0
49.86876,24.02739,monolithic frame,perfect,68.21,2.0,2020.0,3.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,137000.0
49.86876,24.02739,monolithic frame,none,63.45,1.0,2020.0,6.0,ЖК Greenville Park Lviv,1.0,apartment,No,Yes,No,81200.0
49.86876,24.02739,monolithic frame,none,47,1.0,2020.0,3.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,58000.0
49.86876,24.02739,monolithic frame,none,47.57,1.0,2020.0,1.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,60000.0
49.86876,24.02739,monolithic frame,none,46,1.0,2020.0,5.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,65000.0
49.86876,24.02739,monolithic frame,none,46,1.0,2020.0,5.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,65000.0
49.86876,24.02739,monolithic frame,perfect,55,1.0,2020.0,2.0,ЖК Greenville Park Lviv,1.0,apartment,No,Yes,No,112500.0
49.86876,24.02739,monolithic frame,none,45.06,1.0,2020.0,5.0,ЖК Greenville Park Lviv,1.0,apartment,No,No,No,58900.0
49.86947,24.03586,brick house,medium,82,4.0,1962.0,5.0,none,1.0,apartment,No,No,No,70000.0
49.86947,24.03586,brick house,medium,30,1.0,1980.0,7.0,none,1.0,apartment,No,No,No,35000.0
49.86947,24.03586,panel,medium-good,69,3.0,1980.0,9.0,none,1.0,apartment,No,No,No,60000.0
49.86947,24.03586,panel,medium-good,46,2.0,1980.0,5.0,none,1.0,apartment,No,No,No,49000.0
49.86947,24.03586,brick house,medium,68.2,3.0,1980.0,9.0,none,1.0,apartment,No,No,No,68000.0
49.86947,24.03586,brick house,medium,44,2.0,1980.0,1.0,none,1.0,apartment,No,No,No,47000.0
49.86951,24.03318,brick house,good,23,1.0,1980.0,4.0,none,1.0,apartment,No,No,No,21000.0
49.86992,24.03071,brick house,medium,30,1.0,1981.0,2.0,none,1.0,apartment,No,No,No,33500.0
49.87051,24.02842,brick house,good,50,2.0,1982.0,14.0,none,1.0,apartment,No,No,Yes,68000.0
49.87051,24.02842,brick house,medium-good,48,2.0,1982.0,9.0,none,1.0,apartment,No,No,No,55000.0
49.87051,24.02842,brick house,low,37,1.0,1979.0,9.0,none,1.0,apartment,No,No,No,39000.0
49.87164,24.02226,brick house,perfect,45,1.0,2021.0,9.0,ЖК Avalon Flex,1.0,apartment,No,Yes,Yes,99000.0
49.87164,24.02226,brick house,perfect,67,2.0,2021.0,7.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,137000.0
49.87164,24.02226,brick house,perfect,45,1.0,2021.0,9.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,87000.0
49.87164,24.02226,brick house,perfect,45,1.0,2021.0,4.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,91500.0
49.87164,24.02226,brick house,perfect,84,3.0,2021.0,9.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,205000.0
49.87164,24.02226,brick house,perfect,45,1.0,2021.0,3.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,88500.0
49.87164,24.02226,brick house,perfect,65,2.0,2021.0,1.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,138000.0
49.87164,24.02226,brick house,perfect,90,2.0,2021.0,9.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,169000.0
49.87164,24.02226,brick house,perfect,68,2.0,2021.0,7.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,155000.0
49.87164,24.02226,brick house,perfect,67,2.0,2021.0,8.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,143000.0
49.87164,24.02226,brick house,perfect,45,1.0,2021.0,7.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,93000.0
49.87164,24.02226,brick house,perfect,40,1.0,2021.0,9.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,10900.0
49.87164,24.02226,brick house,perfect,44,1.0,2021.0,7.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,87000.0
49.87164,24.02226,brick house,perfect,70,2.0,2021.0,5.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,153000.0
49.87164,24.02226,brick house,perfect,68,2.0,2021.0,5.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,153000.0
49.87164,24.02226,brick house,perfect,87,2.0,2021.0,9.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,169000.0
49.87164,24.02226,brick house,perfect,45,1.0,2021.0,3.0,ЖК Avalon Flex,1.0,apartment,No,Yes,No,85000.0
49.87164,24.02226,brick house,none,83,3.0,2022.0,8.0,ЖК Avalon Flex,1.0,apartment,No,No,No,99000.0
49.87164,24.02226,brick house,none,66,2.0,2022.0,8.0,ЖК Avalon Flex,1.0,apartment,No,No,No,88500.0
49.87164,24.02226,brick house,none,84,3.0,2022.0,8.0,ЖК Avalon Flex,1.0,apartment,No,No,No,95000.0
49.87164,24.02226,brick house,none,101,3.0,2022.0,3.0,ЖК Avalon Flex,1.0,apartment,No,No,No,110000.0
49.87164,24.02226,brick house,none,84,3.0,2022.0,3.0,ЖК Avalon Flex,1.0,apartment,No,No,No,95000.0
49.87164,24.02226,brick house,none,137.5,4.0,2022.0,9.0,ЖК Avalon Flex,1.0,apartment,No,No,No,168500.0
49.87164,24.02226,brick house,none,87,3.0,2022.0,4.0,ЖК Avalon Flex,1.0,apartment,No,No,No,100000.0
49.87164,24.02226,brick house,none,95,2.0,2022.0,9.0,ЖК Avalon Flex,1.0,apartment,No,No,No,123000.0
49.87036,24.03247,brick house,good,69,3.0,1980.0,9.0,none,1.0,apartment,No,No,No,63000.0
49.87016,24.03737,panel,good,46,2.0,1973.0,5.0,none,1.0,apartment,No,No,No,49000.0
49.87163,24.0343,brick house,good,80,4.0,1978.0,6.0,none,1.0,apartment,No,No,No,76000.0
49.87163,24.0343,brick house,good,83,3.0,1978.0,6.0,none,1.0,apartment,No,No,No,90000.0
49.87223,24.0362,brick house,medium-good,35.1,1.0,1978.0,9.0,none,1.0,apartment,No,No,No,41000.0
49.87003,24.04229,brick house,good,30,1.0,1975.0,7.0,none,1.0,apartment,No,No,No,34000.0
49.87003,24.04229,brick house,good,20,1.0,1975.0,7.0,none,1.0,apartment,No,No,No,33000.0
49.86451,24.04863,brick house,medium,42,1.0,1977.0,1.0,none,1.0,apartment,No,No,No,50000.0
49.86736,24.05189,insulated panel,medium-good,72,3.0,1992.0,7.0,none,1.0,apartment,No,No,No,57000.0
49.86897,24.05381,insulated panel,medium-good,73,3.0,1994.0,4.0,none,1.0,apartment,No,No,No,67000.0
49.86938,24.04504,brick house,good,87.1,3.0,1960.0,4.0,none,1.0,apartment,No,Yes,No,116251.0
49.86999,24.04703,brick house,medium,38,1.0,1977.0,1.0,none,1.0,apartment,No,No,No,36500.0
49.87007,24.05548,insulated panel,good,76.9,3.0,1991.0,4.0,none,1.0,apartment,No,No,No,66000.0
49.87072,24.05693,monolithic frame,none,67,2.0,2016.0,6.0,none,1.0,apartment,No,No,No,125000.0
49.87076,24.0573,brick house,perfect,67,2.0,2016.0,6.0,none,1.0,apartment,No,No,No,120000.0
49.87152,24.05252,insulated panel,perfect,115,3.0,1998.0,10.0,none,2.0,apartment,No,Yes,No,80000.0
49.87193,24.05165,insulated panel,good,59,2.0,1994.0,7.0,none,1.0,apartment,No,Yes,No,53000.0
49.87193,24.05165,insulated panel,good,115,3.0,1994.0,10.0,none,2.0,apartment,No,No,No,80000.0
49.87254,24.06128,brick house,perfect,79.1,2.0,2016.0,9.0,ЖК Khmelnytskyi Hall,1.0,apartment,No,No,Yes,125000.0
49.87254,24.06128,brick house,perfect,35,1.0,2016.0,1.0,ЖК Khmelnytskyi Hall,1.0,apartment,No,No,Yes,50000.0
49.87228,24.05216,brick house,medium,38,1.0,1972.0,12.0,none,1.0,apartment,No,No,No,36500.0
49.87522,24.05986,monolithic frame,good,45,1.0,2011.0,8.0,none,1.0,apartment,No,No,No,56000.0
49.8739,24.05119,panel,good,63,3.0,1970.0,5.0,none,1.0,apartment,No,No,No,51500.0
49.87431,24.05076,panel,good,31.2,1.0,1969.0,4.0,none,1.0,apartment,No,No,No,46000.0
49.87408,24.049,brick house,perfect,61,2.0,1952.0,5.0,none,1.0,apartment,No,Yes,No,86000.0
49.87337,24.04855,brick house,good,105,4.0,1952.0,2.0,none,1.0,apartment,No,No,No,96000.0
49.87388,24.04737,insulated panel,good,40,1.0,1993.0,2.0,none,1.0,apartment,No,No,No,46000.0
49.87297,24.04353,brick house,good,70,3.0,1993.0,5.0,none,1.0,apartment,No,No,No,74000.0
49.87491,24.04296,brick house,good,59,3.0,1993.0,9.0,none,1.0,apartment,No,No,No,65000.0
49.87874,24.04467,brick house,perfect,60.9,2.0,2016.0,7.0,none,1.0,apartment,No,Yes,No,95000.0
49.87931,24.0436,panel,low-medium,50.5,2.0,1970.0,3.0,none,1.0,apartment,No,No,No,38000.0
49.87931,24.0436,panel,low-medium,52,3.0,1970.0,3.0,none,1.0,apartment,No,No,No,38000.0
49.87993,24.04323,monolithic frame,perfect,43,1.0,2016.0,8.0,none,1.0,apartment,No,Yes,No,67999.0
49.8806,24.03893,brick house,medium,37.3,1.0,1992.0,10.0,none,1.0,apartment,No,No,No,32000.0
49.87943,24.03718,brick house,medium,37.6,1.0,1991.0,3.0,none,1.0,apartment,No,No,No,40000.0
49.87975,24.03641,brick house,good,66.2,3.0,1992.0,2.0,none,1.0,apartment,No,No,No,70000.0
49.87999,24.03591,insulated panel,good,82,4.0,1992.0,8.0,none,1.0,apartment,No,No,No,80000.0
49.87999,24.03591,insulated panel,good,40,1.0,1992.0,10.0,none,1.0,apartment,No,No,No,40000.0
49.87999,24.03591,insulated panel,good,69,3.0,1992.0,2.0,none,1.0,apartment,No,No,No,70000.0
49.88061,24.03505,brick house,good,74,2.0,2005.0,1.0,none,1.0,apartment,No,No,No,73978.0
49.88239,24.03767,brick house,good,20,1.0,2013.0,1.0,none,1.0,apartment,No,No,No,27500.0
49.88235,24.03684,brick house,good,110,3.0,2013.0,5.0,none,2.0,apartment,No,No,No,95000.0
49.8824,24.03618,brick house,good,110,3.0,2013.0,5.0,none,2.0,apartment,No,No,No,95000.0
